HASC,Region code,Province,Total cases,New Cases,Death,Lat,Long
VN.AG,VN-44,An Giang,43297,0,1325,10.5216,105.1259
VN.BV,VN-43,Ba Ria - Vung Tau,110822,2,497,10.4963,107.1684
VN.BG,VN-54,Bac Giang,391440,0,92,21.267,106.2
VN.BK,VN-53,Bac Kan,77048,2,19,22.1333,105.8333
VN.BL,VN-55,Bac Lieu,46949,0,470,9.2804,105.72
VN.BN,VN-56,Bac Ninh,353869,0,136,21.1861,106.0763
VN.BR,VN-50,Ben Tre,99799,0,490,10.235,106.375
VN.BD,VN-31,Binh Dinh,139890,6,281,13.886,109.1077
VN.BI,VN-57,Binh Duong,325667,4,3519,11.3254,106.477
VN.BP,VN-58,Binh Phuoc,120003,1,224,11.7512,106.7235
VN.BU,VN-40,Binh Thuan,54300,0,482,11.0904,108.0721
VN.CM,VN-59,Ca Mau,147734,2,357,9.1774,105.15
VN.CN,VN-CT,Can Tho,76925,0,958,10.05,105.77
VN.CB,VN-04,Cao Bang,99051,3,59,22.664,106.268
VN.DA,VN-DN,Da Nang,108712,0,338,16.0748,108.224
VN.DC,VN-33,Dak Lak,172439,0,201,12.71,108.2378
VN.DO,VN-72,Dak Nong,73427,0,47,12.2646,107.6098
VN.DB,VN-71,Dien Bien,90757,26,23,21.4064,103.0322
VN.DN,VN-39,Dong Nai,107518,0,1903,11.0686,107.1676
VN.DT,VN-45,Dong Thap,51614,6,1007,10.4938,105.0191
VN.GL,VN-30,Gia Lai,70961,0,116,13.8079,108.1094
VN.HG,VN-03,Ha Giang,122610,0,80,22.8337,104.9833
VN.HM,VN-63,Ha Nam,91467,3,65,20.5835,105.923
VN.HI,VN-HN,Ha Noi,1646923,2,1232,21.0333,105.85
VN.HT,VN-23,Ha Tinh,55279,0,50,18.3338,105.9
VN.HD,VN-61,Hai Duong,372391,5,117,20.942,106.331
VN.HP,VN-HP,Hai Phong,537527,11,145,20.83,106.6801
VN.HU,VN-73,Hau Giang,17900,0,231,9.7579,105.6413
VN.HC,VN-SG,Ho Chi Minh,629018,3,19985,10.78,106.695
VN.HO,VN-14,Hoa Binh,239941,1,102,20.8137,105.3383
VN.HY,VN-26,Hung Yen,244028,2,5,16.47,107.58
VN.KH,VN-66,Khanh Hoa,122036,4,364,20.6464,106.0511
VN.KG,VN-34,Kien Giang,43659,0,1027,12.2585,109.0526
VN.KT,VN-47,Kon Tum,26342,0,1,9.825,105.1259
VN.LI,VN-28,Lai Chau,75519,1,0,14.3838,107.9833
VN.LD,VN-01,Lam Dong,98238,0,141,22.3964,103.4582
VN.LS,VN-35,Lang Son,160752,0,85,11.5753,108.1429
VN.LO,VN-09,Lao Cai,188846,0,38,21.846,106.757
VN.LA,VN-02,Long An,50297,0,1088,22.5014,103.966
VN.ND,VN-41,Nam Dinh,301101,1,150,10.6956,106.2431
VN.NA,VN-67,Nghe An,502049,11,145,20.42,106.2
VN.NB,VN-22,Ninh Binh,104800,0,93,19.2342,104.92
VN.NT,VN-18,Ninh Thuan,9001,0,60,20.2543,105.975
VN.PT,VN-36,Phu Tho,331520,4,97,11.6739,108.863
VN.PY,VN-68,Phu Yen,44481,0,137,21.2684,105.2046
VN.QB,VN-32,Quang Binh,129648,13,74,13.0882,109.0929
VN.QM,VN-24,Quang Nam,49556,0,150,17.6103,106.3487
VN.QG,VN-27,Quang Ngai,50513,0,127,15.5394,108.0191
VN.QN,VN-29,Quang Ninh,356404,7,150,15.1504,108.83
VN.QT,VN-13,Quang Tri,86293,3,38,21.0064,107.2925
VN.ST,VN-25,Soc Trang,34457,0,634,16.7504,107.2
VN.SL,VN-52,Son La,153602,8,0,9.6037,105.98
VN.TN,VN-05,Tay Ninh,140444,0,944,21.328,103.91
VN.TB,VN-37,Thai Binh,296789,0,23,11.323,106.147
VN.TY,VN-20,Thai Nguyen,347519,1,112,20.4503,106.333
VN.TH,VN-69,Thanh Hoa,178595,2,109,21.6,105.83
VN.TT,VN-21,Thua Thien Hue,48186,6,173,19.82,105.8
VN.TG,VN-46,Tien Giang,39902,0,1290,10.4493,106.3421
VN.TV,VN-51,Tra Vinh,75174,0,115,9.934,106.334
VN.TQ,VN-07,Tuyen Quang,147582,0,14,21.818,105.211
VN.VL,VN-49,Vinh Long,103505,0,829,10.256,105.964
VN.VC,VN-70,Vinh Phuc,375686,0,19,21.361,105.547
VN.YB,VN-06,Yen Bai,158046,6,13,21.705,104.875
